Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Deaths with any mention of diabetes by deprivation (non-covid deaths),2011,"EASR per 100,000",Wales,Persons under 75,Most deprived,38.76415217,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2012,"EASR per 100,000",Wales,Persons under 75,Least deprived,9.283931714,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2012,"EASR per 100,000",Wales,Persons under 75,Most deprived,39.38081777,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2013,"EASR per 100,000",Wales,Persons under 75,Least deprived,12.97173991,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2013,"EASR per 100,000",Wales,Persons under 75,Most deprived,40.98327451,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2014,"EASR per 100,000",Wales,Persons under 75,Least deprived,9.837955007,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2014,"EASR per 100,000",Wales,Persons under 75,Most deprived,37.03942378,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2015,"EASR per 100,000",Wales,Persons under 75,Least deprived,12.22473911,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2015,"EASR per 100,000",Wales,Persons under 75,Most deprived,49.52013614,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2016,"EASR per 100,000",Wales,Persons under 75,Least deprived,14.66077842,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2016,"EASR per 100,000",Wales,Persons under 75,Most deprived,46.15029506,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2017,"EASR per 100,000",Wales,Persons under 75,Least deprived,14.02374879,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2017,"EASR per 100,000",Wales,Persons under 75,Most deprived,44.6763285,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2018,"EASR per 100,000",Wales,Persons under 75,Least deprived,15.18585169,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2018,"EASR per 100,000",Wales,Persons under 75,Most deprived,41.67220182,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2019,"EASR per 100,000",Wales,Persons under 75,Least deprived,12.23424865,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2019,"EASR per 100,000",Wales,Persons under 75,Most deprived,53.49896618,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2020,"EASR per 100,000",Wales,Persons under 75,Least deprived,15.41548549,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2020,"EASR per 100,000",Wales,Persons under 75,Most deprived,52.9622432,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2021,"EASR per 100,000",Wales,Persons under 75,Least deprived,12.87991936,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2021,"EASR per 100,000",Wales,Persons under 75,Most deprived,53.59301204,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2022,"EASR per 100,000",Wales,Persons under 75,Least deprived,15.04232077,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2022,"EASR per 100,000",Wales,Persons under 75,Most deprived,57.52997991,[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2009/10,Count,Wales,Persons,Observed Count,"153,175",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2010/11,Count,Wales,Persons,Observed Count,"160,533",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2011/12,Count,Wales,Persons,Observed Count,"167,537",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2012/13,Count,Wales,Persons,Observed Count,"173,299",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2013/14,Count,Wales,Persons,Observed Count,"177,212",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2014/15,Count,Wales,Persons,Observed Count,"183,348",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2015/16,Count,Wales,Persons,Observed Count,"188,644",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2016/17,Count,Wales,Persons,Observed Count,"191,590",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2017/18,Count,Wales,Persons,Observed Count,"194,693",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2018/19,Count,Wales,Persons,Observed Count,"198,883",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2019/20,Count,Wales,Persons,Observed Count,"204,167",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2020/21,Count,Wales,Persons,Observed Count,"207,273",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2021/22,Count,Wales,Persons,Observed Count,"212,716",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2021/22,Count,Wales,Persons,High Count,"211,562",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2022/23,Count,Wales,Persons,High Count,"216,205",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2023/24,Count,Wales,Persons,High Count,"221,108",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2024/25,Count,Wales,Persons,High Count,"226,167",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2025/26,Count,Wales,Persons,High Count,"231,324",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2026/27,Count,Wales,Persons,High Count,"236,546",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2027/28,Count,Wales,Persons,High Count,"241,815",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2028/29,Count,Wales,Persons,High Count,"247,120",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2029/30,Count,Wales,Persons,High Count,"252,456",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2030/31,Count,Wales,Persons,High Count,"257,820",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2031/32,Count,Wales,Persons,High Count,"263,209",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2032/33,Count,Wales,Persons,High Count,"268,623",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2033/34,Count,Wales,Persons,High Count,"274,060",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2034/35,Count,Wales,Persons,High Count,"279,521",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2035/36,Count,Wales,Persons,High Count,"285,006",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2021/22,Count,Wales,Persons,Medium Count,"211,201",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2022/23,Count,Wales,Persons,Medium Count,"215,103",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2023/24,Count,Wales,Persons,Medium Count,"218,984",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2024/25,Count,Wales,Persons,Medium Count,"222,884",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2025/26,Count,Wales,Persons,Medium Count,"226,784",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2026/27,Count,Wales,Persons,Medium Count,"230,683",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2027/28,Count,Wales,Persons,Medium Count,"234,583",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2028/29,Count,Wales,Persons,Medium Count,"238,483",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2029/30,Count,Wales,Persons,Medium Count,"242,383",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2030/31,Count,Wales,Persons,Medium Count,"246,283",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2031/32,Count,Wales,Persons,Medium Count,"250,183",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2032/33,Count,Wales,Persons,Medium Count,"254,083",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2033/34,Count,Wales,Persons,Medium Count,"257,983",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2034/35,Count,Wales,Persons,Medium Count,"261,883",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2035/36,Count,Wales,Persons,Medium Count,"265,783",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2021/22,Count,Wales,Persons,Low Count,"210,482",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2022/23,Count,Wales,Persons,Low Count,"211,008",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2023/24,Count,Wales,Persons,Low Count,"211,534",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2024/25,Count,Wales,Persons,Low Count,"212,060",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2025/26,Count,Wales,Persons,Low Count,"212,585",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2026/27,Count,Wales,Persons,Low Count,"213,111",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2027/28,Count,Wales,Persons,Low Count,"213,637",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2028/29,Count,Wales,Persons,Low Count,"214,163",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2029/30,Count,Wales,Persons,Low Count,"214,689",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2030/31,Count,Wales,Persons,Low Count,"215,214",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2031/32,Count,Wales,Persons,Low Count,"215,740",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2032/33,Count,Wales,Persons,Low Count,"216,266",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2033/34,Count,Wales,Persons,Low Count,"216,792",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2034/35,Count,Wales,Persons,Low Count,"217,317",[x],[x],
Observed (2009/10 to 2021/22) and projected (2022/23 to 2035/36) diabetes register,2035/36,Count,Wales,Persons,Low Count,"217,843",[x],[x],
Adults reporting to have diabetes by obesity,2022/23,Observed percentage,Wales,Persons aged 16+,Respondents who are diabetic,4.7,4.1,5.3,
Adults reporting to have diabetes by obesity,2022/23,Observed percentage,Wales,Persons aged 16+,Respondents who are not obese and have diabetes,3.6,3,4.2,
Adults reporting to have diabetes by obesity,2022/23,Observed percentage,Wales,Persons aged 16+,Respondents who are obese and have diabetes,8.2,6.6,9.7,
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Males,16-44 ,23.9,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Males,16-44 ,24.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Males,16-44 ,16.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Males,16-44 ,25.8,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Males,16-44 ,23.9,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Males,16-44 ,17.8,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Males,45-64 ,32.9,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Males,45-64 ,34.9,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Males,45-64 ,31.1,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Males,45-64 ,30.8,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Males,45-64 ,35.8,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Males,45-64 ,33.1,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Males,65+,39.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Males,65+,41.2,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Males,65+,46.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Males,65+,37.4,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Males,65+,36.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Males,65+,31.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Females,16-44 ,27.5,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Females,16-44 ,27.5,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Females,16-44 ,31.9,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Females,16-44 ,30.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Females,16-44 ,26.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Females,16-44 ,28.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Females,45-64 ,32.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Females,45-64 ,39.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Females,45-64 ,37.8,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Females,45-64 ,34.5,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Females,45-64 ,33.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Females,45-64 ,36.1,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Females,65+,45.1,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Females,65+,44.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Females,65+,47.5,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Females,65+,44.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Females,65+,46.2,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Females,65+,40,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Persons aged 16+,Most deprived,39.5,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Persons aged 16+,Most deprived,45.2,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Persons aged 16+,Most deprived,45.1,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Persons aged 16+,Most deprived,41.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Persons aged 16+,Most deprived,44.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Persons aged 16+,Most deprived,41.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2016/17 ,Percentage,Wales,Persons aged 16+,Least deprived,24.7,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2017/18,Percentage,Wales,Persons aged 16+,Least deprived,26.2,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2018/19 ,Percentage,Wales,Persons aged 16+,Least deprived,25.3,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2019/20 ,Percentage,Wales,Persons aged 16+,Least deprived,25.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2020/21 quarter 4 ,Percentage,Wales,Persons aged 16+,Least deprived,23.6,[x],[x],
Adults reporting being physically active less than 30 minutes in the previous week,2021/22 ,Percentage,Wales,Persons aged 16+,Least deprived,22.8,[x],[x],
Adults reporting to be obese (bmi 30+),2003/04 ,Percentage,Wales,Males,16+,17.2,[x],[x],
Adults reporting to be obese (bmi 30+),2004/05 ,Percentage,Wales,Males,16+,18.1,[x],[x],
Adults reporting to be obese (bmi 30+),2005/06 ,Percentage,Wales,Males,16+,19.2,[x],[x],
Adults reporting to be obese (bmi 30+),2007,Percentage,Wales,Males,16+,20.3,[x],[x],
Adults reporting to be obese (bmi 30+),2008,Percentage,Wales,Males,16+,20.7,[x],[x],
Adults reporting to be obese (bmi 30+),2009,Percentage,Wales,Males,16+,21.3,[x],[x],
Adults reporting to be obese (bmi 30+),2010,Percentage,Wales,Males,16+,22.1,[x],[x],
Adults reporting to be obese (bmi 30+),2011,Percentage,Wales,Males,16+,22.1,[x],[x],
Adults reporting to be obese (bmi 30+),2012,Percentage,Wales,Males,16+,23.3,[x],[x],
Adults reporting to be obese (bmi 30+),2013,Percentage,Wales,Males,16+,21.7,[x],[x],
Adults reporting to be obese (bmi 30+),2014,Percentage,Wales,Males,16+,21.5,[x],[x],
Adults reporting to be obese (bmi 30+),2015,Percentage,Wales,Males,16+,22.9,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Males,16+,23.7,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Males,16+,21.7,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Males,16+,24,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Males,16+,26.3,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Males,16+,21.7,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Males,16+,23,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Males,16-44,19.8,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Males,16-44,16.4,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Males,16-44,20.9,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Males,16-44,23.7,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Males,16-44,19.3,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Males,16-44,21,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Males,45-64,30.5,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Males,45-64,28.1,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Males,45-64,31,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Males,45-64,31.2,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Males,45-64,28,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Males,45-64,29.1,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Males,65+,21.2,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Males,65+,22.8,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Males,65+,19.9,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Males,65+,24.1,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Males,65+,17.2,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Males,65+,18.9,[x],[x],
Adults reporting to be obese (bmi 30+),2003/04 ,Percentage,Wales,Females,16+,18.1,[x],[x],
Adults reporting to be obese (bmi 30+),2004/05 ,Percentage,Wales,Females,16+,18.1,[x],[x],
Adults reporting to be obese (bmi 30+),2005/06 ,Percentage,Wales,Females,16+,19.7,[x],[x],
Adults reporting to be obese (bmi 30+),2007,Percentage,Wales,Females,16+,20.7,[x],[x],
Adults reporting to be obese (bmi 30+),2008,Percentage,Wales,Females,16+,20.9,[x],[x],
Adults reporting to be obese (bmi 30+),2009,Percentage,Wales,Females,16+,21.2,[x],[x],
Adults reporting to be obese (bmi 30+),2010,Percentage,Wales,Females,16+,21.3,[x],[x],
Adults reporting to be obese (bmi 30+),2011,Percentage,Wales,Females,16+,22.1,[x],[x],
Adults reporting to be obese (bmi 30+),2012,Percentage,Wales,Females,16+,22.8,[x],[x],
Adults reporting to be obese (bmi 30+),2013,Percentage,Wales,Females,16+,23.1,[x],[x],
Adults reporting to be obese (bmi 30+),2014,Percentage,Wales,Females,16+,22.9,[x],[x],
Adults reporting to be obese (bmi 30+),2015,Percentage,Wales,Females,16+,24.1,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Females,16+,21.7,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Females,16+,22.9,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Females,16+,22.5,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Females,16+,23.9,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Females,16+,25.8,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Females,16+,26,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Females,16-44,17.9,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Females,16-44,20.3,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Females,16-44,20.1,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Females,16-44,22.5,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Females,16-44,24.7,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Females,16-44,25.7,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Females,45-64,27.8,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Females,45-64,25.8,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Females,45-64,27.3,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Females,45-64,27.3,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Females,45-64,28.8,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Females,45-64,28.3,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17,Percentage,Wales,Females,65+,19.8,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Females,65+,23.2,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19,Percentage,Wales,Females,65+,20.3,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20,Percentage,Wales,Females,65+,21.7,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 Q4,Percentage,Wales,Females,65+,23.8,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22,Percentage,Wales,Females,65+,23.7,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17 ,Percentage,Wales,Persons aged 16+,Most deprived,29.3,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Persons aged 16+,Most deprived,29.6,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19 ,Percentage,Wales,Persons aged 16+,Most deprived,27.9,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20 ,Percentage,Wales,Persons aged 16+,Most deprived,32.7,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 quarter 4 ,Percentage,Wales,Persons aged 16+,Most deprived,28.7,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22 ,Percentage,Wales,Persons aged 16+,Most deprived,29.1,[x],[x],
Adults reporting to be obese (bmi 30+),2016/17 ,Percentage,Wales,Persons aged 16+,Least deprived,16.4,[x],[x],
Adults reporting to be obese (bmi 30+),2017/18,Percentage,Wales,Persons aged 16+,Least deprived,14.1,[x],[x],
Adults reporting to be obese (bmi 30+),2018/19 ,Percentage,Wales,Persons aged 16+,Least deprived,21.6,[x],[x],
Adults reporting to be obese (bmi 30+),2019/20 ,Percentage,Wales,Persons aged 16+,Least deprived,20.1,[x],[x],
Adults reporting to be obese (bmi 30+),2020/21 quarter 4 ,Percentage,Wales,Persons aged 16+,Least deprived,16.5,[x],[x],
Adults reporting to be obese (bmi 30+),2021/22 ,Percentage,Wales,Persons aged 16+,Least deprived,19.6,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,Sight threatening retinopathy/maculopathy,"1,326",[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,Sight threatening retinopathy/maculopathy,"1,300",[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,Sight threatening retinopathy/maculopathy,996,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,Sight threatening retinopathy/maculopathy,"1,201",[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,Sight threatening retinopathy/maculopathy,877,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Powys THB,Persons,Sight threatening retinopathy/maculopathy,301,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,Sight threatening retinopathy/maculopathy,980,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Wales,Persons,Sight threatening retinopathy/maculopathy,"6,981",[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,Severe retinopathy/maculopathy,102,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,Severe retinopathy/maculopathy,119,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,Severe retinopathy/maculopathy,69,[x],[x],
